Frame,SystemNumber,HousingNumber,CameraName,CameraSerialNumber,CameraSyncOrder
UWA-SB03,3,,R20,C3501325403700
UWA-SB04,4,,L21,C3501325404183
UWA-SB08,8,,R30,C3501325404220
UWA-SB01,1,,L15,C3501325408726
UWA-SB03,3,,L19,C3501325409004
UWA-SB07,7,,R28,C3501325411285
UWA-SB07,7,,R96,C3501325411814
UWA-SB06,6,,L17,C3501325412051
USW-SB05,5,,R24,C3501325416690
UWA-SB08,8,,L29,C3501325416706
UWA-SB07,7,,L27,C3501325418065
UWA-SB04,4,,R22,C3501325418190
USW-SB05,5,,L29,C3501325403702
UWA-SB06,6,,L95,C3501325410834
UWA-SB07,2,,R18,C3501325412540
EMA-01,1,DC_1,C3471325017617,1
EMA-01,1,DC_2,C3471325035747,2
EMA-01,1,DC_3,C3461326123306,3
EMA-01,1,DC_4,C3461326578305,4
