opcode,system_number,latitude_dd,longitude_dd,date_time,location,status,zone,jurisdiction,depth_m
ER-BV-103,1,-34.03371333,123.5956283,2025-07-02T08:13:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,61.2
ER-BV-129,2,-34.025315,123.61607,2025-07-02T08:21:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,58.5
ER-BV-102,3,-34.01627167,123.6278033,2025-07-02T08:27:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,54.3
ER-BV-106,4,-34.00432833,123.6333367,2025-07-02T08:34:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,54.2
ER-BV-125,5,-34.00428833,123.637875,2025-07-02T08:38:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,56.3
ER-BV-110,6,-34.01691167,123.6411,2025-07-02T08:44:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,59
ER-BV-123,7,-34.01980333,123.6345167,2025-07-02T08:49:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,59.4
ER-BV-127,8,-34.042035,123.6349067,2025-07-02T08:58:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,59.9
ER-BV-124,1,-34.05253,123.598495,2025-07-02T10:28:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,0
ER-BV-104,2,-34.04868667,123.5879883,2025-07-02T10:34:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,0
ER-BV-122,3,-34.06146333,123.586885,2025-07-02T10:41:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,69.7
ER-BV-116,4,-34.06518667,123.5974083,2025-07-02T10:47:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,64.7
ER-BV-108,5,-34.06303,123.608795,2025-07-02T10:51:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,55.7
ER-BV-126,6,-34.06305833,123.6133717,2025-07-02T10:54:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,45.6
ER-BV-109,7,-34.06305667,123.6175517,2025-07-02T10:57:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,47.2
ER-BV-117,8,-34.06055712,123.6288847,2025-07-02T11:03:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,60.7
ER-BV-118,1,-34.07494109,123.6034127,2025-07-02T12:48:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,0
ER-BV-112,2,-34.07220667,123.6104167,2025-07-02T12:49:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,65
ER-BV-113,3,-34.06931833,123.6173017,2025-07-02T12:53:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,45.7
ER-BV-119,4,-34.06968833,123.621295,2025-07-02T12:55:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,65.7
ER-BV-120,5,-34.08464667,123.6093817,2025-07-02T13:02:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,70.9
ER-BV-121,6,-34.08499833,123.6134967,2025-07-02T13:05:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,69.3
ER-BV-111,7,-34.087985,123.6113017,2025-07-02T13:08:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,71.8
ER-BV-115,8,-34.09043,123.5999933,2025-07-02T13:14:00+08:00,Eastern Recherche,Fished,Special Purpose Zone,Commonwealth,71.9
